# annotations CSV — auto-generated by tests/tools/gen_annotations_csv.py
# Format: addr_hex,name,notes
# notes column collects aliasing labels at the same address.
005F2E,SSTrackDrawFlipUnc_Read10_Got5,
005F58,SSTrackDrawFlipUnc_Read10_Got6,
005F82,SSTrackDrawFlipUnc_Read10_Got7,
005FAC,SSTrackDrawFlipUnc_Read6_Got0,
005FC8,SSTrackDrawFlipUnc_Read6_Got1,
005FEE,SSTrackDrawFlipUnc_Read6_Got2,
006014,SSTrackDrawFlipUnc_Read6_Got3,
00603A,SSTrackDrawFlipUnc_Read6_Got4,
006060,SSTrackDrawFlipUnc_Read6_Got5,
006086,SSTrackDrawFlipUnc_Read6_Got6,
00609E,SSTrackDrawFlipUnc_Read6_Got7,
0060B8,SSTrackDrawFlipRLE_Read7_Got0,
0060EA,SSTrackDrawFlipRLE_Read7_Got1,
006126,SSTrackDrawFlipRLE_Read7_Got2,
006162,SSTrackDrawFlipRLE_Read7_Got3,
00619E,SSTrackDrawFlipRLE_Read7_Got4,
0061DA,SSTrackDrawFlipRLE_Read7_Got5,
006216,SSTrackDrawFlipRLE_Read7_Got6,
006252,SSTrackDrawFlipRLE_Read7_Got7,
006280,SSTrackDrawFlipRLE_Read6_Got0,
0062A6,SSTrackDrawFlipRLE_Read6_Got1,
0062D6,SSTrackDrawFlipRLE_Read6_Got2,
006306,SSTrackDrawFlipRLE_Read6_Got3,
006336,SSTrackDrawFlipRLE_Read6_Got4,
006366,SSTrackDrawFlipRLE_Read6_Got5,
006396,SSTrackDrawFlipRLE_Read6_Got6,
0063B8,SSTrackDrawFlipRLE_Read6_Got7,
006C0A,SSTrackSetOrientation,
006C9A,return_6C9A,
006C9C,ssInitTableBuffers,
006CE6,ssLdComprsdData,
006D52,SSPlaneB_Background,
006DD4,SSDecompressPlayerArt,
006DE4,SS_ScrollBG,
006E3C,SSPlaneB_SetHorizOffset,
006EE0,SSTrack_SetVscroll,
006F6A,SSTrack_ApplyVscroll,
006F8E,SSAllocateObject,
006FA4,SSAllocateObjectAfterCurrent,
006FC0,Obj5E,
0070F0,Obj5F,
00714A,Obj5F_Init,
00718A,Obj5F_Main,
00723E,return_723E,
007356,Obj87,
00736C,Obj87_Init,
007650,SSSetGeometryOffsets,
0076FA,SSStartNewAct,
0077A2,SSInitPalAndData,
007870,ContinueScreen,
007A04,ContinueScreen_LoadLetters,
007A68,ObjDA,
007A7E,ObjDA_Init,
007B82,ObjDB,
007BA2,ObjDB_Sonic_Init,
007BD2,ObjDB_Sonic_Wait,
007BE4,ObjDB_Sonic_StartRunning,
007BFA,ObjDB_Sonic_Run,
007C22,ObjDB_Tails_Init,
007C52,ObjDB_Tails_Wait,
007C64,ObjDB_Tails_StartRunning,
007C88,ObjDB_Tails_Run,
007D50,TwoPlayerResults,
007FB2,TwoPlayerResultsDone_Zone,
007FB6,TwoPlayerResultsDone_ZoneOrSpecialStages,
008020,TwoPlayerResultsDone_Game,
00802C,TwoPlayerResultsDone_SpecialStage,
0080BA,TwoPlayerResultsDone_SpecialStages,
0080BE,Obj21,
0080E4,Obj21_Init,
00812C,Obj21_Main,
00819A,Setup2PResults_Act,
0082FA,Setup2PResults_Zone,
008328,Setup2PResults_Game,
0083B0,Setup2PResults_SpecialAct,
008452,Setup2PResults_SpecialZone,
008BD4,MenuScreen,
008DA8,LevelSelect2P_Main,
008DE2,LevelSelect2P_PressStart,
008E5A,LevelSelect2P_Controls,
008E7E,Update2PLevSelSelection,
008EFE,Chk2PZoneCompletion,
008F1C,ClearOld2PLevSelSelection,
008FBE,MenuScreenTextToRAM,
008FCC,MenuScreen_Options,
009060,OptionScreen_Main,
00909A,OptionScreen_Select,
0090B6,OptionScreen_Select_Not1P,
0090D8,OptionScreen_Select_Other,
0090E0,OptionScreen_Controls,
009186,OptionScreen_DrawSelected,
0091F8,OptionScreen_DrawUnselected,
009268,OptionScreen_SelectTextPtr,
009296,OptionScreen_HexDumpSoundTest,
0092F6,MenuScreen_LevelSelect,
0093AC,LevelSelect_Main,
0093F0,LevelSelect_PressStart,
00944C,LevelSelect_Return,
009480,LevelSelect_StartZone,
0094DC,LevSelControls,
009522,LevSelControls_CheckLR,
00958A,LevSelControls_SwitchSide,
0095B8,LevelSelect_MarkFields,
00965A,LevelSelect_DrawSoundNumber,
009688,LevelSelect_DrawIcon,
009746,CheckCheats,
009C7C,EndingSequence,
009EF4,EndgameCredits,
00A0C0,EndgameLogoFlash,
00A1D6,ObjCA,
00A218,ObjCA_Init,
00A38C,return_A38C,
00A3C8,ObjCC,
00A3DE,ObjCC_Init,
00A456,ObjCC_Main,
00A894,ObjCE,
00A8AA,ObjCE_Init,
00A988,ObjCF,
00A99A,ObjCF_Init,
00A9E4,ObjCF_Animate,
00A9F2,ObjCB,
00AA06,ObjCB_Init,
00AAAE,ObjCD,
00AAC0,ObjCD_Init,
00AB0E,ObjCD_Main,
00ABE2,EndingSequence_LoadCharacterArt,
00ABF4,EndingSequence_LoadCharacterArt_Sonic,
00AC08,EndingSequence_LoadCharacterArt_SuperSonic,
00AC1C,EndingSequence_LoadCharacterArt_Tails,
00AC30,EndingSequence_LoadFlickyArt,
00AC42,EndingSequence_LoadFlickyArt_Flicky,
00AC56,EndingSequence_LoadFlickyArt_Eagle,
00AC6A,EndingSequence_LoadFlickyArt_Chicken,
00B262,ShowCreditsScreen,
00BFBC,LevelSizeLoad,
00C258,InitCameraValues,
00C2B8,InitCam_EHZ,
00C2E4,InitCam_Null0,InitCam_WZ / InitCam_Std
00C2F2,InitCam_Null1,
00C2F4,InitCam_HTZ,
00C320,InitCam_HPZ,InitCam_Null2
00C322,InitCam_OOZ,
00C332,InitCam_MCZ,
00C364,InitCam_CNZ,
00C372,InitCam_CPZ,
00C38A,InitCam_Null3,
00C38C,InitCam_ARZ,
00C3C6,InitCam_SCZ,
00C3D0,DeformBgLayer,
00C480,DeformBgLayerAfterScrollVert,
00C51E,SwScrl_Title,
00C57E,SwScrl_EHZ,
00C6C4,SwScrl_EHZ_2P,
00C7BA,SwScrl_WZ,
00C7F2,SwScrl_MTZ,
00C82A,SwScrl_WFZ,
00C964,SwScrl_HTZ,
00CA92,HTZ_Screen_Shake,
00CB10,SwScrl_HTZ_2P,
00CBA0,SwScrl_HPZ,
00CC66,SwScrl_OOZ,
00CD2C,SwScrl_MCZ,
00CE84,SwScrl_MCZ_2P,
00D0C6,SwScrl_CNZ,
00D160,SwScrl_CNZ_GenerateScrollValues,
00D194,SwScrl_CNZ_2P,
00D27C,SwScrl_CPZ,
00D382,SwScrl_DEZ,
00D4AE,SwScrl_ARZ,
00D5DE,SwScrl_SCZ,
00D666,SwScrl_Minimal,
00D69E,SwScrl_HPZ_Continued,
00D6E2,SetHorizScrollFlags,
00D704,ScrollHoriz,
00D77A,ScrollVerti,
00D878,SetVertiScrollFlags,
00D89A,SetHorizVertiScrollFlagsBG,
00D904,SetHorizScrollFlagsBG,
00D938,SetVertiScrollFlagsBG,
00D940,SetVertiScrollFlagsBG2,
00D96C,SetHorizScrollFlagsBG_ARZ,
00D9C8,SetHorizScrollFlagsBG2,
00DA5C,LoadTilesAsYouMove,
00DACE,Draw_All,
00DAF6,Draw_FG,
00DB5A,return_DB5A,
00DB5C,Draw_FG_P2,
00DBC0,return_DBC0,
00DBC2,Draw_BG1,
00DC90,return_DC90,
00DC92,Draw_BG2,
00DD82,Draw_BG3,
00DE12,Draw_BG3_CPZ,
00DE86,DrawBlockColumn_Advanced,
00DF04,DrawBlockColumn,
00DF8A,DrawBlockRow_CustomWidth,
00DF92,DrawBlockRow,
00E09E,GetAddressOfBlockInChunk,
00E0D4,ProcessAndWriteBlock_Horizontal,
00E136,ProcessAndWriteBlock_DoubleResolution_Horizontal,
00E174,ProcessAndWriteBlock_Vertical,
00E1FA,ProcessAndWriteBlock_DoubleResolution_Vertical,
00E244,GetBlock,
00E286,CalculateVRAMAddressOfBlockForPlayer1,
00E2C2,CalculateVRAMAddressOfBlockForPlayer2,
00E300,DrawInitialBG,
00E396,DrawInitialBG_LoadWholeBackground_512x512,
00E3C6,loadZoneBlockMaps,
00E462,loadLevelLayout,
00E59C,ConvertHalfOf256x256ChunkToTwo128x128Chunks,
00E5D0,RunDynamicLevelEvents,
00E658,LevEvents_EHZ,
00E660,LevEvents_EHZ2,
00E676,LevEvents_EHZ2_Routine1,
00E6B0,LevEvents_EHZ2_Routine2,
00E6EE,LevEvents_EHZ2_Routine3,
00E738,LevEvents_EHZ2_Routine4,
00E752,LevEvents_001,
00E754,LevEvents_WZ,
00E756,LevEvents_003,
00E758,LevEvents_MTZ,
00E75A,LevEvents_MTZ3,
00E772,LevEvents_MTZ3_Routine1,
00E792,LevEvents_MTZ3_Routine2,
00E7B8,LevEvents_MTZ3_Routine3,
00E7F6,LevEvents_MTZ3_Routine4,
00E82E,LevEvents_MTZ3_Routine5,
00E842,LevEvents_WFZ,
00E86A,LevEvents_WFZ_Routine1,
00E88E,LevEvents_WFZ_Routine2,
00E8C0,LevEvents_WFZ_Routine3,
00E8EC,LevEvents_WFZ_Routine3_Part2,
00E904,LevEvents_WFZ_Routine4,
00E94A,LevEvents_WFZ_Routine5,
00E96C,LevEvents_WFZ_Routine6,
00E984,LevEvents_WFZ_RoutineNull,
00E986,LevEvents_HTZ,
00E9A2,LevEvents_HTZ_Routine1,
00E9EA,LevEvents_HTZ_Routine1_Part2,
00EA0E,LevEvents_HTZ_Routine2,
00EAA0,LevEvents_HTZ_Routine2_Continue,
00EB14,LevEvents_HTZ_Routine3,
