# Auto-generated from s1disasm REV00 listing — do not edit
00BD60,But_IsMZ,
00BD76,But_Pressed,
00BDB2,loc_BDB2,
00BDBE,loc_BDBE,
00BDC8,loc_BDC8,
00BDD6,loc_BDD6,
00BDDE,loc_BDDE,
00BDF8,But_Display,
00BE1C,But_Delete,
00BE22,But_MZBlock,
00BE42,But_MZLoop,
00BE4E,loc_BE4E,
00BE5A,locret_BE5A,
00BE5C,But_MZData,
00BE5E,loc_BE5E,
00BE80,loc_BE80,
00BE84,loc_BE84,
00BE9A,loc_BE9A,
00BE9E,loc_BE9E,
00BEA4,Map_But,Map_But_internal / current_mappings_table
00BEAC,byte_BEAC,
00BEB7,byte_BEB7,
00BEC2,byte_BEC2,
00BED2,PushBlock,
00BEE0,PushB_Index,
00BEE6,PushB_Var,
00BEEA,PushB_Main,
00BF16,notLZ,
00BF52,chkgone,
00BF6E,loc_BF6E,
00BFC6,loc_BFC6,
00BFE6,loc_BFE6,
00C016,loc_C016,
00C028,loc_C028,
00C02C,loc_C02C,
00C044,locret_C044,
00C046,loc_C046,
00C056,loc_C056,
00C09E,loc_C09E,
00C0A0,loc_C0A0,
00C0BC,loc_C0BC,
00C0D0,PushB_StopPush,
00C0D6,loc_C0D6,
00C0E6,loc_C0E6,
00C104,loc_C104,
00C11A,PushB_ChkLava,
00C140,PushB_ChkLava2,
00C15C,PushB_NoLava,
00C15E,PushB_LoadLava,
00C184,locret_C184,
00C186,loc_C186,
00C1A4,loc_C1A4,
00C1AA,loc_C1AA,
00C1F0,locret_C1F0,
00C1F2,loc_C1F2,
00C218,loc_C218,
00C230,loc_C230,
00C268,loc_C268,
00C294,loc_C294,
00C2D8,loc_C2D8,
00C2E0,loc_C2E0,
00C2E4,locret_C2E4,
00C2E6,Map_Push,Map_Push_internal / current_mappings_table
00C2EA,single,
00C2F0,four,
00C306,TitleCard,
00C314,Card_Index,
00C31C,Card_CheckSBZ3,
00C32E,Card_CheckFZ,
00C33C,Card_LoadConfig,
00C34E,Card_Loop,
00C36E,Card_ActNumber,
00C382,Card_MakeSprite,
00C3B4,Card_ChkPos,
00C3C4,Card_Move,
00C3C8,Card_NoMove,
00C3D8,locret_C3D8,
00C3DA,Card_Wait,
00C3E8,Card_ChkPos2,
00C3FE,Card_Move2,
00C412,locret_C412,
00C414,Card_ChangeArt,
00C434,Card_Delete,
00C438,Card_ItemData,
00C448,Format,Card_ConData
00C4A8,_end,
00C4B8,GameOverCard,
00C4C6,Over_Index,
00C4CC,Over_ChkPLC,
00C4D4,Over_Main,
00C4EC,Over_1stWord,
00C50C,Over_Move,
00C51A,Over_UpdatePos,
00C522,Over_SetWait,
00C52E,Over_Wait,
00C54E,Over_ChgMode,
00C568,Over_ResetLvl,
00C56E,Over_Display,
00C572,GotThroughCard,
00C580,Got_Index,
00C592,Got_ChkPLC,
00C59A,Got_Main,
00C5A4,Got_Loop,
00C5CA,loc_C5CA,
00C5EA,Got_Move,
00C5FA,Got_ChgPos,
00C5FE,loc_C5FE,
00C60E,locret_C60E,
00C610,loc_C610,
00C61A,loc_C61A,
00C634,Got_Wait,
00C63E,Got_Display,
00C642,Got_TimeBonus,
00C65E,Got_RingBonus,
00C66E,Got_ChkBonus,
00C68C,Got_SetDelay,
00C692,locret_C692,
00C694,Got_AddBonus,
00C6AE,Got_NextLevel,
00C6D8,Got_ChkSS,
00C6EA,loc_C6EA,
00C6F0,Got_Display2,
00C6F4,LevelOrder,
00C724,_end,Got_Move2
00C734,Got_ChgPos2,
00C748,locret_C748,
00C74A,Got_SBZ2,
00C766,loc_C766,
00C776,Got_Config,
00C7AE,SSResult,
00C7BC,SSR_Index,
00C7D2,SSR_ChkPLC,
00C7DA,SSR_Main,
00C7EE,SSR_Loop,
00C842,loc_C842,
00C846,SSR_Move,
00C856,SSR_ChgPos,
00C85A,loc_C85A,
00C86A,locret_C86A,
00C86C,loc_C86C,
00C884,SSR_Wait,
00C88E,SSR_Display,
00C892,SSR_RingBonus,
00C8C4,loc_C8C4,
00C8EA,locret_C8EA,
00C8EC,SSR_Exit,
00C8F6,SSR_Continue,
00C91A,loc_C91A,
00C92A,SSR_Display2,
00C92E,SSR_Config,
00C956,SSRChaos,
00C964,SSRC_Index,
00C968,SSRC_PosData,
00C974,SSRC_Main,
00C98A,SSRC_Loop,
00C9CC,SSRC_Flash,
00C9E2,SSRC_Display,
00C9E6,Map_Card,current_mappings_table
00C9F2,_end,
00C9FE,M_Card_GHZ,
00CA2C,M_Card_LZ,
00CA5A,M_Card_MZ,
00CA7A,M_Card_SLZ,
00CAA8,M_Card_SYZ,
00CADC,M_Card_SBZ,
00CB10,M_Card_Zone,
00CB26,M_Card_Act1,
00CB31,M_Card_Act2,
00CB3C,M_Card_Act3,
00CB47,M_Card_Oval,
00CB8A,M_Card_FZ,
00CBA4,Map_Over,Map_Over_internal / current_mappings_table
00CBAC,game,
00CBB7,over1,
00CBC2,time,
00CBCD,over2,
00CBD8,Map_Got,current_mappings_table
00CBEA,M_Got_SonicHas,
00CC13,M_Got_Passed,
00CC32,M_Got_Score,
00CC51,M_Got_TBonus,
00CC75,M_Got_RBonus,
00CC9A,Map_SSR,current_mappings_table
00CCAC,M_SSR_Chaos,
00CCEE,M_SSR_Score,
00CD0D,M_SSR_Ring,
00CD31,M_SSR_ContSon1,
00CD46,M_SSR_ContSon2,
00CD5B,M_SSR_Continue,
00CD6B,M_SSR_SpeStage,
00CDA8,M_SSR_GotAll,
00CDF4,Map_SSRC,Map_SSRC_internal / current_mappings_table
00CE02,byte_CE02,
00CE08,byte_CE08,
00CE0E,byte_CE0E,
00CE14,byte_CE14,
00CE1A,byte_CE1A,
00CE20,byte_CE20,
00CE26,byte_CE26,
00CE28,Spikes,
00CE36,Spik_Index,
00CE3A,Spik_Var,
00CE46,Spik_Main,
00CE90,Spik_Solid,
00CEAC,Spik_SideWays,
00CECC,Spik_Upright,
00CEF2,Spik_Hurt,
00CF20,loc_CF20,
00CF22,Spik_Display,
00CF46,Spik_Type0x,
00CF56,Spik_TypeIndex,
00CF5C,Spik_Type00,
00CF5E,Spik_Type01,
00CF72,Spik_Type02,
00CF86,Spik_Wait,
00CFA4,loc_CFA4,
00CFC6,loc_CFC6,
00CFE6,locret_CFE6,
00CFE8,Map_Spike,Map_Spike_internal / current_mappings_table
00CFF4,byte_CFF4,
00D004,byte_D004,
00D014,byte_D014,
00D01A,byte_D01A,
00D02A,byte_D02A,
00D049,byte_D049,
00D050,PurpleRock,
00D05E,Rock_Index,
00D062,Rock_Main,
00D086,Rock_Solid,
00D0BE,WaterSound,
00D0CC,WSnd_Index,
00D0D0,WSnd_Main,
00D0DA,WSnd_PlaySnd,
00D0EE,WSnd_ChkDel,
00D10E,Map_PRock,Map_PRock_internal / current_mappings_table
00D110,byte_D110,
00D11C,SmashWall,
00D12E,Smash_Index,
00D134,Smash_Main,
00D15E,Smash_Solid,
00D180,donothing,
00D182,chkroll,
00D192,chkspeed,
00D1BC,smash,
00D1D6,Smash_FragMove,
00D1EE,SmashObject,
00D212,loop,
00D21A,loadfrag,
00D268,loc_D268,
00D26C,playsnd,
00D276,Smash_FragSpd1,
00D296,Smash_FragSpd2,
00D2B6,Map_Smash,Map_Smash_internal / current_mappings_table
00D2BC,left,
00D2E5,middle,
00D30E,right,
00D338,ExecuteObjects,
00D348,loc_D348,
00D358,loc_D358,
00D362,loc_D362,
00D368,loc_D368,
00D378,loc_D378,
00D37C,loc_D37C,
00D382,Obj_Index,objptr / __LABEL__ / label / id_SonicPlayer
00D386,id_Obj02,
00D38A,id_Obj03,
00D38E,id_Obj04,
00D392,id_Obj05,
00D396,id_Obj06,
00D39A,id_Obj07,
00D39E,id_Splash,
00D3A2,id_SonicSpecial,
00D3A6,id_DrownCount,
00D3AA,id_Pole,
00D3AE,id_FlapDoor,
00D3B2,id_Signpost,
00D3B6,id_TitleSonic,
00D3BA,id_PSBTM,
00D3BE,id_Obj10,
00D3C2,id_Bridge,
00D3C6,id_SpinningLight,
00D3CA,id_LavaMaker,
00D3CE,id_LavaBall,
00D3D2,id_SwingingPlatform,
00D3D6,id_Harpoon,
00D3DA,id_Helix,
00D3DE,id_BasicPlatform,
00D3E2,id_Obj19,
00D3E6,id_CollapseLedge,
00D3EA,id_WaterSurface,
00D3EE,id_Scenery,
00D3F2,id_MagicSwitch,
00D3F6,id_BallHog,
00D3FA,id_Crabmeat,
00D3FE,id_Cannonball,
00D402,id_HUD,
00D406,id_BuzzBomber,
00D40A,id_Missile,
00D40E,id_MissileDissolve,
00D412,id_Rings,
00D416,id_Monitor,
00D41A,id_ExplosionItem,
00D41E,id_Animals,
00D422,id_Points,
00D426,id_AutoDoor,
00D42A,id_Chopper,
00D42E,id_Jaws,
00D432,id_Burrobot,
00D436,id_PowerUp,
00D43A,id_LargeGrass,
00D43E,id_GlassBlock,
00D442,id_ChainStomp,
00D446,id_Button,
00D44A,id_PushBlock,
00D44E,id_TitleCard,
00D452,id_GrassFire,
00D456,id_Spikes,
00D45A,id_RingLoss,
00D45E,id_ShieldItem,
00D462,id_GameOverCard,
00D466,id_GotThroughCard,
00D46A,id_PurpleRock,
00D46E,id_SmashWall,
00D472,id_BossGreenHill,
00D476,id_Prison,
00D47A,id_ExplosionBomb,
00D47E,id_MotoBug,
00D482,id_Springs,
00D486,id_Newtron,
00D48A,id_Roller,
00D48E,id_EdgeWalls,
00D492,id_SideStomp,
00D496,id_MarbleBrick,
00D49A,id_Bumper,
00D49E,id_BossBall,
00D4A2,id_WaterSound,
00D4A6,id_VanishSonic,
00D4AA,id_GiantRing,
00D4AE,id_GeyserMaker,
00D4B2,id_LavaGeyser,
00D4B6,id_LavaWall,
00D4BA,id_Obj4F,
00D4BE,id_Yadrin,
00D4C2,id_SmashBlock,
00D4C6,id_MovingBlock,
00D4CA,id_CollapseFloor,
00D4CE,id_LavaTag,
00D4D2,id_Basaran,
00D4D6,id_FloatingBlock,
00D4DA,id_SpikeBall,
00D4DE,id_BigSpikeBall,
00D4E2,id_Elevator,
00D4E6,id_CirclingPlatform,
00D4EA,id_Staircase,
00D4EE,id_Pylon,
00D4F2,id_Fan,
00D4F6,id_Seesaw,
00D4FA,id_Bomb,
00D4FE,id_Orbinaut,
00D502,id_LabyrinthBlock,
00D506,id_Gargoyle,
00D50A,id_LabyrinthConvey,
00D50E,id_Bubble,
00D512,id_Waterfall,
00D516,id_Junction,
00D51A,id_RunningDisc,
00D51E,id_Conveyor,
00D522,id_SpinPlatform,
00D526,id_Saws,
00D52A,id_ScrapStomp,
00D52E,id_VanishPlatform,
00D532,id_Flamethrower,
00D536,id_Electro,
00D53A,id_SpinConvey,
00D53E,id_Girder,
00D542,id_Invisibarrier,
00D546,id_Teleport,
00D54A,id_BossMarble,
00D54E,id_BossFire,
00D552,id_BossSpringYard,
00D556,id_BossBlock,
00D55A,id_BossLabyrinth,
00D55E,id_Caterkiller,
00D562,id_Lamppost,
00D566,id_BossStarLight,
00D56A,id_BossSpikeball,
00D56E,id_RingFlash,
00D572,id_HiddenBonus,
00D576,id_SSResult,
00D57A,id_SSRChaos,
00D57E,id_ContScrItem,
00D582,id_ContSonic,
00D586,id_ScrapEggman,
00D58A,id_FalseFloor,
00D58E,id_EggmanCylinder,
00D592,id_BossFinal,
00D596,id_BossPlasma,
00D59A,id_EndSonic,
00D59E,id_EndChaos,
00D5A2,id_EndSTH,
00D5A6,id_CreditsText,
00D5AA,id_EndEggman,
00D5AE,id_TryChaos,
00D5B2,NullObject,ObjectFall
00D5DE,SpeedToPos,
00D604,DisplaySprite,
00D620,DSpr_Full,
00D622,DisplaySprite1,
00D63E,DSpr1_Full,
00D640,DeleteObject,
00D642,DeleteChild,
00D646,DelObj_Loop,
00D64E,BldSpr_ScrPos,
00D65E,BuildSprites,
00D66A,priorityLoop,
00D672,objectLoop,
00D6DE,screenCoords,
00D6E8,assumeHeight,
00D700,drawObject,
00D71C,drawFrame,
00D720,setVisible,
00D726,skipObject,
00D72E,nextPriority,
00D748,spriteLimit,
00D750,BuildSpr_Draw,
00D762,BuildSpr_Normal,
00D78E,writeX,
00D794,return,
00D796,BuildSpr_FlipX,
00D79E,loop,
00D7DC,writeX,
00D7E2,return,
00D7E4,BuildSpr_FlipY,
00D822,writeX,
00D828,return,
00D82A,BuildSpr_FlipXY,
00D876,writeX,
00D87C,return,
00D87E,output,ChkObjectVisible
00D8A2,offscreen,
00D8A6,output,ChkPartiallyVisible
00D8D6,offscreen2,
00D8DA,ObjPosLoad,
00D8E8,OPL_Index,
00D8EC,OPL_Main,
00D924,OPL_ClrList,
00D93C,loc_D93C,
00D944,loc_D944,
00D952,loc_D952,
00D956,loc_D956,
00D964,loc_D964,
00D972,loc_D972,
00D976,loc_D976,
00D980,OPL_Next,
00D9A6,loc_D9A6,
00D9BC,loc_D9BC,
00D9C6,loc_D9C6,
00D9D0,loc_D9D0,
00D9D2,loc_D9D2,
00D9DE,loc_D9DE,
00D9EC,loc_D9EC,
00D9F0,loc_D9F0,
00D9F6,loc_D9F6,
00DA02,loc_DA02,
00DA10,loc_DA10,
00DA16,loc_DA16,
00DA24,loc_DA24,
00DA32,loc_DA32,
00DA36,loc_DA36,
00DA3A,locret_DA3A,
00DA3C,loc_DA3C,
00DA50,OPL_MakeItem,
00DA80,loc_DA80,
00DA8A,locret_DA8A,
00DA8C,output,FindFreeObj
00DA94,FFree_Loop,
00DAA0,FFree_Found,
00DAA2,output,FindNextFreeObj
00DAB0,NFree_Loop,
00DABC,NFree_Found,
00DABE,Springs,
00DAF0,Spring_Index,
00DB04,Spring_Powers,
00DB08,Spring_Main,
00DB54,Spring_NotLR,
00DB66,Spring_NotDwn,
00DB72,loc_DB72,
00DB7E,Spring_Up,
00DB9A,Spring_BounceUp,
00DBD4,Spring_AniUp,
00DBDE,Spring_ResetUp,
00DBEA,Spring_LR,
00DC0C,loc_DC0C,
00DC16,Spring_BounceLR,
00DC36,Spring_Flipped,
00DC56,loc_DC56,
00DC6C,Spring_AniLR,
00DC76,Spring_ResetLR,
00DC82,Spring_Dwn,
00DCA4,loc_DCA4,
00DCAE,locret_DCAE,
00DCB0,Spring_BounceDwn,
00DCE8,Spring_AniDwn,
00DCF2,Spring_ResetDwn,
00DCFE,Ani_Spring,
00DD02,byte_DD02,
00DD0E,byte_DD0E,
00DD1A,Map_Spring,Map_Spring_internal / current_mappings_table
00DD26,M_Spg_Up,
00DD31,M_Spg_UpFlat,
00DD37,M_Spg_UpExt,
00DD47,M_Spg_Left,
00DD4D,M_Spg_LeftFlat,
00DD53,M_Spg_LeftExt,
00DD68,Newtron,
00DD76,Newt_Index,
00DD7C,Newt_Main,
00DDAC,Newt_Action,
00DDC8,index,
00DDD2,chkdistance,
00DDEA,sonicisright,
00DE12,outofrange,istype00
00DE14,type00,
00DE32,sonicisright2,
00DE34,fall,
00DE42,loc_DE42,
00DE6E,notgreen,
00DE86,keepfalling,
00DE88,matchfloor,
00DEA2,nextroutine,
00DEA8,speed,
00DEAE,type01,
00DEBC,firemissile,
00DF04,noflip,
00DF14,fail,
00DF16,Newt_Delete,
00DF1A,Ani_Newt,
00DF24,A_Newt_Blank,
00DF28,A_Newt_Drop,
00DF30,A_Newt_Fly1,
00DF34,A_Newt_Fly2,
00DF38,A_Newt_Fires,
00DF42,Map_Newt,Map_Newt_internal / current_mappings_table
00DF58,M_Newt_Trans,
00DF68,M_Newt_Norm,
00DF78,M_Newt_Fires,
00DF88,M_Newt_Drop1,
00DF9D,M_Newt_Drop2,
00DFAD,M_Newt_Drop3,
00DFB8,M_Newt_Fly1a,
00DFC8,M_Newt_Fly1b,
00DFD8,M_Newt_Fly2a,
00DFE8,M_Newt_Fly2b,
00DFF8,M_Newt_Blank,
00DFFA,Roller,
00E008,Roll_Index,
00E00C,Roll_Main,
00E052,locret_E052,
00E054,Roll_Action,
00E08E,Roll_ChkGone,
00E0A0,Roll_Delete,
00E0A4,Roll_Index2,
00E0AC,Roll_RollChk,
00E0D2,loc_E0D2,
00E0D6,Roll_RollNoChk,
00E0F6,locret_E0F6,
00E0F8,loc_E0F8,
00E0FE,Roll_ChkJump,
00E11C,Roll_Jump,
00E12E,locret_E12E,
00E130,Roll_MatchFloor,
00E150,locret_E150,
00E152,Roll_Stop,
00E188,locret_E188,
00E18A,Ani_Roll,
00E190,A_Roll_Unfold,
00E196,A_Roll_Fold,
00E19C,A_Roll_Roll,
00E1A2,Map_Roll,Map_Roll_internal / current_mappings_table
00E1AC,M_Roll_Stand,
00E1B7,M_Roll_Fold,
00E1C2,M_Roll_Roll1,
00E1C8,M_Roll_Roll2,
00E1CE,M_Roll_Roll3,
00E1D4,EdgeWalls,
00E1E2,Edge_Index,
00E1E8,Edge_Main,
00E220,Edge_Solid,
00E22C,Edge_Display,
00E250,Map_Edge,Map_Edge_internal / current_mappings_table
00E256,M_Edge_Shadow,
00E26B,M_Edge_Light,
00E280,M_Edge_Dark,
00E296,LavaMaker,
00E2A8,LavaM_Index,
00E2AC,LavaM_Rates,
00E2B2,LavaM_Main,
00E2D2,LavaM_MakeLava,
00E302,LavaM_Wait,
00E304,LavaBall,
00E316,LBall_Index,
00E31C,LBall_Speeds,
00E32E,LBall_Main,
00E35A,notSLZ,
00E37C,speed,
00E3B0,sound,
00E3BA,LBall_Action,
00E3D8,LBall_ChkDel,
00E3F8,LBall_TypeIndex,
00E40A,LBall_Type00,
00E41E,loc_E41E,
00E430,locret_E430,
00E432,LBall_Type04,
00E452,locret_E452,
00E454,LBall_Type05,
00E474,locret_E474,
00E476,LBall_Type06,
00E498,locret_E498,
00E49A,LBall_Type07,
00E4BC,locret_E4BC,
00E4BE,LBall_Type08,
00E4C0,LBall_Delete,
00E4C4,Ani_Fire,
00E4CC,vertical,
00E4D2,vertcollide,
00E4D6,horizontal,
00E4DC,horicollide,
00E4E0,Flamethrower,
00E4EE,Flame_Index,
00E4F2,Flame_Main,
00E556,Flame_Action,
00E57A,loc_E57A,
00E59A,Flame_ChkDel,
00E5BC,Ani_Flame,
00E5C4,pipe1,
00E5D2,pipe2,
00E5DC,valve1,
00E5EA,valve2,
00E5F4,Map_Flame,Map_Flame_internal / current_mappings_table
00E620,pipe1,
00E626,pipe2,
00E631,pipe3,
00E63C,pipe4,
00E64C,pipe5,
00E65C,pipe6,
00E671,pipe7,
00E686,pipe8,
00E6A0,pipe9,
00E6BA,pipe10,
00E6D9,pipe11,
00E6F8,valve1,
00E6FE,valve2,
00E709,valve3,
00E714,valve4,
00E724,valve5,
00E734,valve6,
00E749,valve7,
00E75E,valve8,
00E778,valve9,
00E792,valve10,
00E7B1,valve11,
00E7D0,MarbleBrick,
00E7DE,Brick_Index,
00E7E2,Brick_Main,
00E81E,Brick_Action,
00E84C,chkdel,
00E870,Brick_TypeIndex,
00E87A,Brick_Type00,
00E87C,Brick_Type02,
00E888,loc_E888,
00E894,Brick_Type01,
00E8A8,loc_E8A8,
00E8B4,Brick_Type03,
00E8EE,locret_E8EE,
00E8F0,Brick_Type04,
00E904,Map_Brick,Map_Brick_internal / current_mappings_table
00E906,brick,
00E90C,SpinningLight,
00E91A,Light_Index,
00E91E,Light_Main,
00E942,Light_Animate,
00E960,chkdel,
00E982,Map_Light_internal,current_mappings_table
00E98E,f0,
00E999,f1,
00E9A4,f2,
00E9AF,f3,
00E9BA,f4,
00E9C5,f5,
00E9D0,Bumper,
00E9DE,Bump_Index,
00E9E2,Bump_Main,
00EA0C,Bump_Hit,
00EA8A,addscore,
00EAB0,display,
00EADA,resetcount,
00EAEC,delete,
00EAF0,Ani_Bump,
00EAF4,byte_EAF4,
00EAF8,byte_EAF8,
00EB00,Map_Bump,Map_Bump_internal / current_mappings_table
00EB06,normal,
00EB11,bumped1,
00EB1C,bumped2,
00EB28,Signpost,
00EB64,Sign_Index,
00EB6E,Sign_Main,
00EB92,Sign_Touch,
00EBBA,notouch,
00EBBC,Sign_Spin,
00EBD8,chksparkle,
00EC42,fail,
00EC44,Sign_SparkPos,
00EC54,Sign_SonicRun,
00EC70,loc_EC70,
00EC86,loc_EC86,
00EC8A,GotThroughAct,
00ECD0,hastimebonus,
00ECEE,locret_ECEE,
00ECF0,TimeBonuses,
00ED1A,Sign_Exit,
00ED1C,Ani_Sign,
00ED24,eggman,
00ED28,spin1,
00ED2E,spin2,
00ED34,sonic,
00ED38,Map_Sign,Map_Sign_internal / current_mappings_table
00ED42,eggman,
00ED52,spin1,
00ED5D,spin2,
00ED68,spin3,
00ED73,sonic,
00ED84,GeyserMaker,
00ED96,GMake_Index,
00EDA2,GMake_Main,
00EDCC,GMake_Wait,
00EDF0,cancel,
00EDF2,GMake_MakeLava,
00EE18,fail,
00EE2C,isgeyser,
00EE3E,GMake_ChkType,
00EE4A,GMake_Display,
00EE5A,GMake_Delete,
00EE70,LavaGeyser,
00EE82,Geyser_Index,
00EE8A,Geyser_Speeds,
00EE8E,Geyser_Main,
00EEA4,isgeyser,
00EEBA,loop,
00EEC0,makelava,
00EF0A,fail,
00EF10,activate,
00EF70,sound,
00EF7A,Geyser_Action,
00EF98,Geyser_ChkDel,
00EFB8,Geyser_Types,
00EFBC,Geyser_Type00,
00EFDA,locret_EFDA,
00EFDC,Geyser_Type01,
00EFFA,locret_EFFA,
00EFFC,loc_EFFC,
00F026,loc_F026,
00F02E,loc_F02E,
00F04C,loc_F04C,
00F05A,Geyser_Delete,
00F05E,LavaWall,
00F06C,LWall_Index,
00F076,LWall_Main,
00F080,loop,
00F086,make,
00F0C8,fail,
00F0D6,LWall_Action,
00F0E2,rangechk,
00F0F4,rangechk2,
00F102,movewall,
00F112,LWall_Solid,
00F142,animate,
00F158,rangechk,
00F17E,moving,
00F180,chkgone,
00F198,LWall_Move,
00F1B4,LWall_Delete,
00F1B8,LavaTag,
00F1C6,LTag_Index,
00F1CA,LTag_ColTypes,
00F1CE,LTag_Main,
00F1EC,LTag_ChkDel,
00F210,Map_LTag,Map_LTag_internal / current_mappings_table
00F212,f0,
00F214,Ani_Geyser,
00F220,bubble1,
00F22A,bubble2,
00F232,bubble3,
00F23A,blank,
00F23E,bubble4,
00F242,Ani_LWall,
00F244,wall,
00F24A,Map_Geyser,Map_Geyser_internal / current_mappings_table
00F272,bubble1,
00F27D,bubble2,
00F288,bubble3,
00F29D,bubble4,
00F2B2,bubble5,
00F2D1,bubble6,
00F2F0,end1,
00F2FB,end2,
00F306,medcolumn1,
00F339,medcolumn2,
00F36C,medcolumn3,
00F39F,shortcolumn1,
00F3BE,shortcolumn2,
00F3DD,shortcolumn3,
00F3FC,longcolumn1,
00F44D,longcolumn2,
00F49E,longcolumn3,
00F4EF,bubble7,
00F50E,bubble8,
00F52D,blank,
00F52E,Map_LWall,Map_LWall_internal / current_mappings_table
00F538,byte_F538,
00F566,byte_F566,
00F594,byte_F594,
00F5C2,byte_F5C2,
00F5F0,byte_F5F0,
00F61A,MotoBug,
00F628,Moto_Index,
00F630,Moto_Main,
00F68A,notonfloor,
00F68C,smoke,
00F694,Moto_Action,
00F6AC,RememberState,
00F6CE,offscreen,
00F6E0,delete,
00F6E4,Moto_ActIndex,
00F6E8,move,
00F70A,wait,
00F70C,findfloor,
00F756,nosmoke,
00F758,pause,
00F770,Moto_Animate,
00F77E,Moto_Delete,
00F782,Ani_Moto,
00F788,stand,
00F78C,walk,
00F792,smoke,
00F7A0,Map_Moto,Map_Moto_internal / current_mappings_table
00F7AE,moto1,
00F7C3,moto2,
00F7D8,moto3,
00F7F2,smoke1,
00F7F8,smoke2,
00F7FE,smoke3,
00F804,blank,
00F806,Obj4F,
00F808,Yad_ChkWall,
00F828,loc_F828,
00F82C,loc_F82C,
00F836,loc_F836,
00F83A,Yadrin,
00F848,Yad_Index,
00F84C,Yad_Main,
00F89E,locret_F89E,
00F8A0,Yad_Action,
00F8BC,Yad_Index2,
00F8C0,Yad_Move,
00F8E2,locret_F8E2,
00F8E4,Yad_FixToFloor,
00F904,Yad_Pause,
00F91C,Ani_Yad,
00F920,stand,
00F924,walk,
00F92E,Map_Yad,Map_Yad_internal / current_mappings_table
00F93A,walk0,
00F954,walk1,
00F96E,walk2,
00F988,walk3,
00F9A2,walk4,
00F9BC,walk5,
00F9D6,input,SolidObject
00F9FE,leave,
00FA12,stand,
00FA1C,SolidObject71,
00FA44,leave,
00FA58,stand,
00FA62,SolidObject2F,
00FA94,notflipped,
00FAC8,Solid_ChkEnter,
00FAD0,loc_FAD0,
00FB0E,loc_FB0E,
00FB36,isright,
00FB44,isbelow,
00FB5E,Solid_Right,
00FB64,Solid_Left,
00FB70,Solid_Centre,
00FB8C,Solid_SideAir,
00FB92,Solid_Ignore,
00FBA0,Solid_NotPushing,
00FBAC,Solid_Debug,
00FBB0,Solid_TopBottom,
00FBBC,Solid_Below,
00FBD2,Solid_TopBtmAir,
00FBD6,Solid_Squash,
00FBEE,Solid_Landed,
00FC28,Solid_Miss,
00FC2C,Solid_ResetFloor,
00FC4E,notonobj,
00FC84,notinair,
00FC92,SmashBlock,
00FCA4,Smab_Index,
00FCAA,Smab_Main,
00FCD4,Smab_Solid,
00FCFC,notspinning,
00FCFE,smash,
00FD84,bonus,
00FD98,givepoints,
00FDA4,Smab_Points,
00FDBC,Smab_Speeds,
00FDCC,Smab_Scores,
00FDD4,Map_Smab,Map_Smab_internal / current_mappings_table
00FDD8,two,
00FDE3,four,
00FDF8,MovingBlock,
00FE06,MBlock_Index,
00FE0C,MBlock_Var,
00FE16,MBlock_Main,
00FE44,loc_FE44,
00FE60,loc_FE60,
00FE96,MBlock_Platform,
00FEA8,MBlock_StandOn,
00FEC4,MBlock_ChkDel,
00FEE6,MBlock_Move,
00FEFA,MBlock_TypeIndex,
00FF10,MBlock_Type00,
00FF12,MBlock_Type01,
00FF26,loc_FF26,
00FF32,MBlock_Type02,
00FF3E,MBlock_02_Wait,
00FF40,MBlock_Type03,
00FF5A,MBlock_03_End,
00FF60,MBlock_Type05,
00FF7A,MBlock_05_End,
00FF80,MBlock_Type06,
00FFA0,locret_FFA0,
00FFA2,MBlock_Type07,
00FFAC,MBlock_07_ChkDel,
00FFCE,MBlock_Type08,
00FFE2,loc_FFE2,
00FFEE,MBlock_Type0A,
010004,loc_10004,
010022,MBlock_0A_Wait,
01002E,locret_1002E,
010030,MBlock_0A_Back,
010040,MBlock_0A_Reset,
01004A,Map_MBlock,Map_MBlock_internal / current_mappings_table
010054,mz1,
01005A,mz2,
010065,sbz,
01007A,sbzwide,
01008F,mz3,
0100A0,Map_MBlockLZ,Map_MBlockLZ_internal / current_mappings_table
0100A2,f0,
0100A8,Basaran,
0100B6,Bas_Index,
0100BA,Bas_Main,
0100EA,Bas_Action,
010106,index,
01010E,dropcheck,
010148,nodrop,
01014A,dropfly,
010180,dropmore,
010182,chkdel,
01018C,flapsound,
0101A0,nosound,
0101B0,isright,
0101C6,dontflyup,
0101C8,flyup,
0101F4,noceiling,
0101F6,input,output / chkdistance
010214,right,
01022A,Ani_Bas,
010230,still,
010234,fall,
010238,fly,
01023E,Map_Bas,Map_Bas_internal / current_mappings_table
010246,still,
01024C,fly1,
01025C,fly2,
010271,fly3,
010286,FloatingBlock,
010294,FBlock_Index,
010298,FBlock_Var,
0102A8,FBlock_Main,
0102C8,notLZ,
010332,stillnotLZ,
01035A,chkstate,
01037C,FBlock_Action,
0103B4,chkdel,
0103D6,index,
0103F2,type00,
0103F4,type01,
010400,type02,
01040A,moveLR,
010416,noflip,
010422,type03,
01042E,type04,
010438,moveUD,
010444,noflip04,
010450,type05,
01047A,aaa,
01049E,loc_1049E,
0104A4,loc_104A4,
0104AE,loc_104AE,
0104BC,loc_104BC,
0104C8,loc_104C8,
0104E4,type06,
010500,loc_10500,
010512,loc_10512,
010520,loc_10520,
